Category,Page Title,Complete URL,Description
"Overview & Getting Started","About this guide","https://developers.google.com/style","Scope, reference hierarchy, and core principles for the Google developer documentation style guide."
"Overview & Getting Started","Highlights","https://developers.google.com/style/highlights","Quick overview of the most important guidance for tone, language, formatting, and accessibility."
"Overview & Getting Started","What's new","https://developers.google.com/style/whats-new","Recent additions and changes to the style guide."
"General Principles","Write accessible documentation","https://developers.google.com/style/accessibility","Guidance for making documentation usable by people with disabilities."
"General Principles","Write inclusive documentation","https://developers.google.com/style/inclusive-documentation","Guidance for respectful, unbiased, and inclusive language."
"General Principles","Avoid excessive claims","https://developers.google.com/style/excessive-claims","Guidance for writing factual, objective claims about performance, cost, security, and product behavior."
"General Principles","Future features","https://developers.google.com/style/future","Guidance for documenting preview, unreleased, or upcoming features."
"General Principles","Write for a global audience","https://developers.google.com/style/translation","Guidance for clear, concise, unambiguous writing that supports translation and localization."
"General Principles","Voice and tone","https://developers.google.com/style/tone","Guidance for conversational, friendly, respectful, and professional writing."
"General Principles","Second person and first person","https://developers.google.com/style/person","Guidance for addressing readers directly and using first-person plural pronouns consistently."
"Language & Grammar","Word list","https://developers.google.com/style/word-list","Preferred spelling, capitalization, terminology, and usage."
"Language & Grammar","Abbreviations","https://developers.google.com/style/abbreviations","Guidance for introducing, spelling, and formatting abbreviations."
"Language & Grammar","Active voice","https://developers.google.com/style/voice","Guidance for identifying the actor and preferring active voice when it improves clarity."
"Language & Grammar","Contractions","https://developers.google.com/style/contractions","Guidance for using common contractions in conversational technical writing."
"Language & Grammar","Gender-neutral pronouns","https://developers.google.com/style/pronouns#gender-neutral-pronouns","Guidance for clear pronoun references and inclusive, gender-neutral pronouns."
"Language & Grammar","Sentence structure","https://developers.google.com/style/sentence-structure","Guidance for ordering conditions, goals, and instructions so sentences are easier to understand."
"Formatting & Organization","Text-formatting summary","https://developers.google.com/style/text-formatting","Quick reference for bold, italics, code font, capitalization, and punctuation."
"Formatting & Organization","Capitalization","https://developers.google.com/style/capitalization","Guidance for sentence case, product names, headings, lists, and technical terms."
"Formatting & Organization","Headings and titles","https://developers.google.com/style/headings","Guidance for descriptive titles, sentence case, and logical heading hierarchy."
"Formatting & Organization","Lists","https://developers.google.com/style/lists","Guidance for numbered, bulleted, description, and nested lists."
"Formatting & Organization","Procedures","https://developers.google.com/style/procedures","Guidance for concise, ordered, accessible, and actionable procedures."
"Formatting & Organization","Tables","https://developers.google.com/style/tables","Guidance for choosing, structuring, introducing, and making tables accessible."
"Formatting & Organization","Code in text","https://developers.google.com/style/code-in-text","Guidance for formatting inline code, API elements, filenames, and variables."
"Formatting & Organization","Code samples","https://developers.google.com/style/code-samples","Guidance for readable, runnable, well-introduced, and consistently formatted code samples."
"Formatting & Organization","Placeholders","https://developers.google.com/style/placeholders","Guidance for formatting and explaining values that readers must replace."
"Formatting & Organization","Command-line syntax","https://developers.google.com/style/code-syntax","Guidance for documenting commands, arguments, prompts, optional values, and output."
"Formatting & Organization","UI elements and interaction","https://developers.google.com/style/ui-elements","Guidance for describing tasks, controls, menus, dialogs, fields, and keyboard input."
"Formatting & Organization","Cross-references and linking","https://developers.google.com/style/cross-references","Guidance for selective, descriptive, accessible links and cross-references."
"Formatting & Organization","Dates and times","https://developers.google.com/style/dates-times","Guidance for unambiguous dates, times, time zones, and calendar references."
"Formatting & Organization","Numbers","https://developers.google.com/style/numbers","Guidance for numerals, spelled-out numbers, ranges, and mathematical values."
"Formatting & Organization","Units of measurement","https://developers.google.com/style/units-of-measure","Guidance for spacing, ranges, currencies, rates, and decimal or binary units."
"Formatting & Organization","Dashes","https://developers.google.com/style/dashes","Guidance for em dashes, en dashes, and using colons in descriptions."
"Formatting & Organization","Hyphens","https://developers.google.com/style/hyphens","Guidance for compound terms, number ranges, and technical hyphenation."
"Formatting & Organization","Quotation marks","https://developers.google.com/style/quotation-marks","Guidance for quotation marks, apostrophes, punctuation, and straight versus curly marks."
"Formatting & Organization","Notices","https://developers.google.com/style/notices","Guidance for using notes, cautions, warnings, and other notices sparingly."
"Formatting & Organization","Footnotes","https://developers.google.com/style/footnotes","Guidance on avoiding footnotes and using links, notes, or parentheticals instead."
"Images & Media","Figures and other images","https://developers.google.com/style/images","Guidance for useful, accessible, localized, and appropriately formatted images."
"Images & Media","Alt text","https://developers.google.com/style/images#alt-text","Guidance for concise, contextual alternative text."
"Images & Media","Diagrams","https://developers.google.com/style/images#diagrams","Guidance for creating diagrams and providing equivalent information in text."
"Images & Media","Screenshots","https://developers.google.com/style/images#screenshots","Guidance for focused, consistent, privacy-preserving screenshots."
"Reference & Special Topics","API reference code comments","https://developers.google.com/style/api-reference-comments","Guidance for Javadoc, docstrings, and inline API reference comments."
"Reference & Special Topics","Product names","https://developers.google.com/style/product-names","Correct spelling, capitalization, and usage of product and feature names."
"Reference & Special Topics","HTML and semantic tagging","https://developers.google.com/style/semantic-tagging","Guidance for using HTML elements according to their semantic purpose."
